Block index,Category
20,Away
21,Away
22,Away
23,Away
B41,Club level long side
B42,Club level long side
B43,Club level long side
B44,Club level long side
B59,Club level long side
B60,Club level long side
B61,Club level long side
B62,Club level long side
B63,Club level long side
B64,Club level long side
B65,Club level long side
B66,Club level long side
B81,Club level long side
B82,Club level long side
B83,Club level long side
B84,Club level long side
B45,Club level short side
B46,Club level short side
B47,Club level short side
B48,Club level short side
B49,Club level short side
B50,Club level short side
B51,Club level short side
B52,Club level short side
B53,Club level short side
B54,Club level short side
B55,Club level short side
B56,Club level short side
B57,Club level short side
B58,Club level short side
B67,Club level short side
B68,Club level short side
B69,Club level short side
B70,Club level short side
B71,Club level short side
B72,Club level short side
B73,Club level short side
B74,Club level short side
B75,Club level short side
B76,Club level short side
B77,Club level short side
B78,Club level short side
B79,Club level short side
B80,Club level short side
1,Long side central lower tier
2,Long side central lower tier
15,Long side central lower tier
16,Long side central lower tier
17,Long side central lower tier
18,Long side central lower tier
31,Long side central lower tier
32,Long side central lower tier
3,Long side lower tier
4,Long side lower tier
5,Long side lower tier
12,Long side lower tier
13,Long side lower tier
14,Long side lower tier
19,Long side lower tier
28,Long side lower tier
29,Long side lower tier
30,Long side lower tier
6,Short side lower tier
7,Short side lower tier
8,Short side lower tier
9,Short side lower tier
10,Short side lower tier
11,Short side lower tier
24,Short side lower tier
25,Short side lower tier
26,Short side lower tier
27,Short side lower tier
,
91,Long side central upper tier
92,Long side central upper tier
93,Long side upper tier
94,Long side upper tier
95,Long side upper tier
96,Long side upper tier
97,Short side upper tier
98,Short side upper tier
99,Short side upper tier
100,Short side upper tier
101,Short side upper tier
102,Short side upper tier
103,Short side upper tier
104,Short side upper tier
105,Short side upper tier
106,Short side upper tier
107,Long side upper tier
108,Long side upper tier
109,Long side upper tier
110,Long side upper tier
111,Long side central upper tier
112,Long side central upper tier
113,Long side central upper tier
114,Long side central upper tier
115,Long side upper tier
116,Long side upper tier
117,Long side upper tier
118,Long side upper tier
119,Short side upper tier
120,Short side upper tier
121,Short side upper tier
122,Short side upper tier
123,Short side upper tier
124,Short side upper tier
125,Short side upper tier
126,Short side upper tier
127,Short side upper tier
128,Short side upper tier
129,Long side upper tier
130,Long side upper tier
131,Long side upper tier
132,Long side upper tier
133,Long side central upper tier
134,Long side central upper tier
DC1,Diamond club
DC2,Diamond club
DC3,Diamond club
DC4,Diamond club
DC5,Diamond club
DC6,Diamond club
DC7,Diamond club
DC8,Diamond club
DC9,Diamond club
DC10,Diamond club
DC11,Diamond club
DC12,Diamond club
DC13,Diamond club
DC14,Diamond club
DC15,Diamond club
DC16,Diamond club
DC17,Diamond club
DC18,Diamond club
DC19,Diamond club
DC20,Diamond club
DC21,Diamond club
DC22,Diamond club
DC23,Diamond club
DC24,Diamond club
DC25,Diamond club
DC26,Diamond club
DC27,Diamond club
DC28,Diamond club
DC29,Diamond club
DC30,Diamond club
DC31,Diamond club
DC32,Diamond club
DC33,Diamond club
DC34,Diamond club
DC35,Diamond club
DC36,Diamond club
DC37,Diamond club
DC38,Diamond club
DC39,Diamond club
DC40,Diamond club
DC41,Diamond club
DC42,Diamond club
DC43,Diamond club
DC44,Diamond club
DC45,Diamond club
DC46,Diamond club
DC47,Diamond club
DC48,Diamond club
DC49,Diamond club
DC50,Diamond club
DC51,Diamond club
DC52,Diamond club
DC53,Diamond club
DC54,Diamond club
DC55,Diamond club
DC56,Diamond club
DC57,Diamond club
DC58,Diamond club
DC59,Diamond club
DC60,Diamond club
DC61,Diamond club
DC62,Diamond club
DC63,Diamond club
DC64,Diamond club
DC65,Diamond club
DC66,Diamond club
DC67,Diamond club
DC68,Diamond club
DC69,Diamond club
DC70,Diamond club
DC71,Diamond club
DC72,Diamond club
DC73,Diamond club
DC74,Diamond club
DC75,Diamond club
DC76,Diamond club
DC77,Diamond club
DC78,Diamond club
DC79,Diamond club
DC80,Diamond club
DC81,Diamond club
DC82,Diamond club
DC83,Diamond club
DC84,Diamond club
DC85,Diamond club
DC86,Diamond club
DC87,Diamond club
DC88,Diamond club
DC89,Diamond club
DC90,Diamond club
DC91,Diamond club
DC92,Diamond club
DC93,Diamond club
DC94,Diamond club
DC95,Diamond club
DC96,Diamond club
DC97,Diamond club
DC98,Diamond club
DC99,Diamond club
DC100,Diamond club
DC101,Diamond club
DC102,Diamond club
DC103,Diamond club
DC104,Diamond club
DC105,Diamond club
DC106,Diamond club
DC107,Diamond club
DC108,Diamond club
DC109,Diamond club
DC110,Diamond club
DC111,Diamond club
DC112,Diamond club
DC113,Diamond club
DC114,Diamond club
DC115,Diamond club
DC116,Diamond club
DC117,Diamond club
DC118,Diamond club
DC119,Diamond club
DC120,Diamond club
DC121,Diamond club
DC122,Diamond club
DC123,Diamond club
DC124,Diamond club
DC125,Diamond club
DC126,Diamond club
DC127,Diamond club
DC128,Diamond club
DC129,Diamond club
DC130,Diamond club
DC131,Diamond club
DC132,Diamond club
DC133,Diamond club
DC134,Diamond club
DC135,Diamond club
DC136,Diamond club
DC137,Diamond club
DC138,Diamond club
DC139,Diamond club
DC140,Diamond club
DC141,Diamond club
DC142,Diamond club
DC143,Diamond club
DC144,Diamond club
DC145,Diamond club
DC146,Diamond club
DC147,Diamond club
DC148,Diamond club
DC149,Diamond club
DC150,Diamond club
